gene,dis,rank,Ensembl
LIN28B,9.15E-08,6648,ENSG00000187772
APTR,9.14E-08,6649,ENSG00000214293
MRPS33,9.14E-08,6650,ENSG00000090263
GINS3,9.14E-08,6651,ENSG00000181938
ARFGAP1,9.14E-08,6652,ENSG00000101199
TUBB2A,9.14E-08,6653,ENSG00000137267
RBAK,9.14E-08,6654,ENSG00000146587
C1D,9.14E-08,6655,ENSG00000197223
GNPDA2,9.14E-08,6656,ENSG00000163281
NIPAL1,9.14E-08,6657,ENSG00000163293
LRRC8A,9.14E-08,6658,ENSG00000136802
PINK1,9.14E-08,6659,ENSG00000158828
MAPK1,9.14E-08,6660,ENSG00000100030
ANKS1A,9.13E-08,6661,ENSG00000064999
PTPN3,9.13E-08,6662,ENSG00000070159
SPRED1,9.13E-08,6663,ENSG00000166068
ZFX,9.13E-08,6664,ENSG00000005889
PSMA1,9.13E-08,6665,ENSG00000129084
VPS13B,9.13E-08,6666,ENSG00000132549
ECE2,9.13E-08,6667,ENSG00000145194
ECSIT,9.13E-08,6668,ENSG00000130159
CBWD5,9.12E-08,6669,ENSG00000147996
XAGE2,9.12E-08,6670,ENSG00000155622
NFE2L1,9.12E-08,6671,ENSG00000082641
EPN1,9.12E-08,6672,ENSG00000063245
GJC1,9.12E-08,6673,ENSG00000182963
STK33,9.12E-08,6674,ENSG00000130413
CPOX,9.12E-08,6675,ENSG00000080819
CDKN2D,9.12E-08,6676,ENSG00000129355
CTDSPL2,9.12E-08,6677,ENSG00000137770
CARS,9.12E-08,6678,ENSG00000110619
ATAD3A,9.12E-08,6679,ENSG00000197785
ZNF114,9.12E-08,6680,ENSG00000178150
TM2D3,9.11E-08,6681,ENSG00000184277
STXBP3,9.11E-08,6682,ENSG00000116266
ULK2,9.11E-08,6683,ENSG00000083290
DUSP6,9.11E-08,6684,ENSG00000139318
HS6ST1,9.11E-08,6685,ENSG00000136720
MYSM1,9.11E-08,6686,ENSG00000162601
HEATR3,9.11E-08,6687,ENSG00000155393
SNORD60,9.11E-08,6688,ENSG00000206630
MICAL2,9.10E-08,6689,ENSG00000133816
HYOU1,9.10E-08,6690,ENSG00000149428
TCHP,9.10E-08,6691,ENSG00000139437
FAM222B,9.10E-08,6692,ENSG00000173065
DEPDC1,9.10E-08,6693,ENSG00000024526
STK24,9.10E-08,6694,ENSG00000102572
DHX40,9.10E-08,6695,ENSG00000108406
NMD3,9.10E-08,6696,ENSG00000169251
GPATCH1,9.10E-08,6697,ENSG00000076650
ZNF445,9.09E-08,6698,ENSG00000185219
LSM1,9.09E-08,6699,ENSG00000175324
ICE1,9.09E-08,6700,ENSG00000164151
RAD51C,9.09E-08,6701,ENSG00000108384
WASF1,9.09E-08,6702,ENSG00000112290
ANAPC2,9.09E-08,6703,ENSG00000176248
INPP5E,9.09E-08,6704,ENSG00000148384
MAP4K3,9.09E-08,6705,ENSG00000011566
MICALL2,9.09E-08,6706,ENSG00000164877
CARMIL1,9.08E-08,6707,ENSG00000079691
SMTN,9.08E-08,6708,ENSG00000183963
WWC3,9.08E-08,6709,ENSG00000047644
UBTD2,9.08E-08,6710,ENSG00000168246
PLEKHF2,9.08E-08,6711,ENSG00000175895
ECE1,9.08E-08,6712,ENSG00000117298
MFSD9,9.07E-08,6713,ENSG00000135953
MAGI3,9.07E-08,6714,ENSG00000081026
PSMD10,9.07E-08,6715,ENSG00000101843
PLPP1,9.07E-08,6716,ENSG00000067113
CD46,9.07E-08,6717,ENSG00000117335
HIBCH,9.07E-08,6718,ENSG00000198130
CARNMT1,9.07E-08,6719,ENSG00000156017
NQO1,9.07E-08,6720,ENSG00000181019
URI1,9.07E-08,6721,ENSG00000105176
RWDD1,9.07E-08,6722,ENSG00000111832
CLPX,9.07E-08,6723,ENSG00000166855
MZT1,9.07E-08,6724,ENSG00000204899
TNPO2,9.07E-08,6725,ENSG00000105576
ZBED3,9.07E-08,6726,ENSG00000132846
,9.06E-08,6727,ENSG00000185928
SLF2,9.06E-08,6728,ENSG00000119906
PRKAR2B,9.06E-08,6729,ENSG00000005249
GSK3B,9.06E-08,6730,ENSG00000082701
CTD-3193K9.4,9.06E-08,6731,ENSG00000267041
USP9X,9.06E-08,6732,ENSG00000124486
PEX14,9.06E-08,6733,ENSG00000142655
REPS1,9.06E-08,6734,ENSG00000135597
C20orf24,9.06E-08,6735,ENSG00000101084
ARHGAP42,9.06E-08,6736,ENSG00000165895
CDK5RAP1,9.06E-08,6737,ENSG00000101391
,9.05E-08,6738,ENSG00000108296
KAT8,9.05E-08,6739,ENSG00000103510
TYMS,9.05E-08,6740,ENSG00000176890
ATG101,9.05E-08,6741,ENSG00000123395
POU2F1,9.05E-08,6742,ENSG00000143190
TMTC3,9.05E-08,6743,ENSG00000139324
RAI14,9.05E-08,6744,ENSG00000039560
NBAS,9.05E-08,6745,ENSG00000151779
RAB3B,9.05E-08,6746,ENSG00000169213
C14orf80,9.05E-08,6747,ENSG00000185347
DYRK2,9.05E-08,6748,ENSG00000127334
PHLDB3,9.04E-08,6749,ENSG00000176531
NT5C,9.04E-08,6750,ENSG00000125458
RPAP1,9.04E-08,6751,ENSG00000103932
TMED4,9.04E-08,6752,ENSG00000158604
GEMIN7,9.04E-08,6753,ENSG00000142252
TMEM154,9.04E-08,6754,ENSG00000170006
GAA,9.03E-08,6755,ENSG00000171298
SLC30A9,9.03E-08,6756,ENSG00000014824
FAM127A,9.03E-08,6757,ENSG00000134590
COQ9,9.03E-08,6758,ENSG00000088682
SPATA33,9.03E-08,6759,ENSG00000167523
DNAJC3,9.03E-08,6760,ENSG00000102580
TTC9,9.03E-08,6761,ENSG00000133985
FAAP20,9.03E-08,6762,ENSG00000162585
GTSE1,9.02E-08,6763,ENSG00000075218
ABHD17C,9.02E-08,6764,ENSG00000136379
SMNDC1,9.02E-08,6765,ENSG00000119953
HMGN4,9.02E-08,6766,ENSG00000182952
PARP2,9.02E-08,6767,ENSG00000129484
SNRNP27,9.02E-08,6768,ENSG00000124380
PHF13,9.02E-08,6769,ENSG00000116273
BZW1,9.02E-08,6770,ENSG00000082153
TRMT61A,9.01E-08,6771,ENSG00000166166
BICDL2,9.01E-08,6772,ENSG00000162069
TMBIM1,9.01E-08,6773,ENSG00000135926
ZNF845,9.01E-08,6774,ENSG00000213799
PRELID3B,9.01E-08,6775,ENSG00000101166
RP11-646I6.6,9.01E-08,6776,ENSG00000270141
UBE2O,9.01E-08,6777,ENSG00000175931
IDH3G,9.01E-08,6778,ENSG00000067829
DDX50,9.01E-08,6779,ENSG00000107625
POLR2C,9.01E-08,6780,ENSG00000102978
PPP1R15B,9.01E-08,6781,ENSG00000158615
,9.00E-08,6782,ENSG00000135213
RP11-486O12.2,9.00E-08,6783,ENSG00000247373
EARS2,9.00E-08,6784,ENSG00000103356
NFKB1,9.00E-08,6785,ENSG00000109320
C19orf25,9.00E-08,6786,ENSG00000119559
RP11-319G6.1,9.00E-08,6787,ENSG00000248932
PELI1,9.00E-08,6788,ENSG00000197329
CUL1,9.00E-08,6789,ENSG00000055130
DDRGK1,8.99E-08,6790,ENSG00000198171
RTF1,8.99E-08,6791,ENSG00000137815
RPS6KA4,8.98E-08,6792,ENSG00000162302
CAPN2,8.98E-08,6793,ENSG00000162909
GALE,8.98E-08,6794,ENSG00000117308
ZDHHC9,8.98E-08,6795,ENSG00000188706
SGO1,8.98E-08,6796,ENSG00000129810
CLDN3,8.98E-08,6797,ENSG00000165215
SKIV2L2,8.98E-08,6798,ENSG00000039123
ZGRF1,8.98E-08,6799,ENSG00000138658
RTKN,8.98E-08,6800,ENSG00000114993
STK19,8.98E-08,6801,ENSG00000204344
PPP2R5D,8.98E-08,6802,ENSG00000112640
POLE3,8.98E-08,6803,ENSG00000148229
ZNF589,8.97E-08,6804,ENSG00000164048
BTG1,8.97E-08,6805,ENSG00000133639
TUBG1,8.97E-08,6806,ENSG00000131462
TRAM2,8.97E-08,6807,ENSG00000065308
RRP12,8.97E-08,6808,ENSG00000052749
ERI1,8.97E-08,6809,ENSG00000104626
WDR54,8.97E-08,6810,ENSG00000005448
PSMG4,8.97E-08,6811,ENSG00000180822
CSTF1,8.97E-08,6812,ENSG00000101138
ZNF614,8.96E-08,6813,ENSG00000142556
TGIF2,8.96E-08,6814,ENSG00000118707
ST3GAL2,8.96E-08,6815,ENSG00000157350
FRAT1,8.96E-08,6816,ENSG00000165879
TTC4,8.96E-08,6817,ENSG00000243725
PPP2R2A,8.96E-08,6818,ENSG00000221914
SLC25A13,8.96E-08,6819,ENSG00000004864
COQ6,8.96E-08,6820,ENSG00000119723
ZNF529,8.96E-08,6821,ENSG00000186020
RAB5C,8.96E-08,6822,ENSG00000108774
SWAP70,8.95E-08,6823,ENSG00000133789
RPS10,8.95E-08,6824,ENSG00000124614
BRD8,8.95E-08,6825,ENSG00000112983
PPIL2,8.95E-08,6826,ENSG00000100023
ANKRD26,8.95E-08,6827,ENSG00000107890
TAF10,8.95E-08,6828,ENSG00000166337
SNX17,8.95E-08,6829,ENSG00000115234
RDH10,8.95E-08,6830,ENSG00000121039
CAND1,8.94E-08,6831,ENSG00000111530
RPS6KB2,8.94E-08,6832,ENSG00000175634
SCFD1,8.94E-08,6833,ENSG00000092108
MTFR2,8.94E-08,6834,ENSG00000146410
RAVER1,8.94E-08,6835,ENSG00000161847
SVIL-AS1,8.94E-08,6836,ENSG00000224597
,8.93E-08,6837,ENSG00000182646
SRCAP,8.93E-08,6838,ENSG00000080603
GPC1,8.93E-08,6839,ENSG00000063660
RRP9,8.93E-08,6840,ENSG00000114767
EHMT2,8.93E-08,6841,ENSG00000204371
PHF5A,8.93E-08,6842,ENSG00000100410
FAM32A,8.93E-08,6843,ENSG00000105058
PET100,8.93E-08,6844,ENSG00000229833
,8.93E-08,6845,ENSG00000180138
MEG3,8.93E-08,6846,ENSG00000214548
SKIL,8.93E-08,6847,ENSG00000136603
ELP3,8.92E-08,6848,ENSG00000134014
RIPK1,8.92E-08,6849,ENSG00000137275
NETO2,8.92E-08,6850,ENSG00000171208
DOCK9,8.92E-08,6851,ENSG00000088387
CBWD2,8.92E-08,6852,ENSG00000136682
RAP2C,8.92E-08,6853,ENSG00000123728
RGL2,8.92E-08,6854,ENSG00000237441
MCUB,8.92E-08,6855,ENSG00000005059
MSANTD2,8.91E-08,6856,ENSG00000120458
HSPBP1,8.91E-08,6857,ENSG00000133265
TNFAIP8,8.91E-08,6858,ENSG00000145779
PPP1R3B,8.91E-08,6859,ENSG00000173281
RPUSD4,8.91E-08,6860,ENSG00000165526
TMEM57,8.91E-08,6861,ENSG00000204178
CCDC116,8.91E-08,6862,ENSG00000161180
FNDC10,8.91E-08,6863,ENSG00000228594
CCNF,8.91E-08,6864,ENSG00000162063
LYPLA2,8.91E-08,6865,ENSG00000011009
VPS37C,8.90E-08,6866,ENSG00000167987
FGF18,8.90E-08,6867,ENSG00000156427
FMC1,8.90E-08,6868,ENSG00000164898
MAGT1,8.90E-08,6869,ENSG00000102158
C5orf51,8.90E-08,6870,ENSG00000205765
ARPC4,8.90E-08,6871,ENSG00000241553
NRDE2,8.90E-08,6872,ENSG00000119720
CRB3,8.90E-08,6873,ENSG00000130545
ORMDL2,8.89E-08,6874,ENSG00000123353
MPV17L2,8.89E-08,6875,ENSG00000254858
NAA30,8.89E-08,6876,ENSG00000139977
EHBP1,8.89E-08,6877,ENSG00000115504
ERP44,8.89E-08,6878,ENSG00000023318
HMBS,8.89E-08,6879,ENSG00000256269
FTX,8.89E-08,6880,ENSG00000230590
JKAMP,8.89E-08,6881,ENSG00000050130
PPARD,8.88E-08,6882,ENSG00000112033
CTNNAL1,8.88E-08,6883,ENSG00000119326
SWI5,8.88E-08,6884,ENSG00000175854
CCZ1B,8.88E-08,6885,ENSG00000146574
ZMYND8,8.88E-08,6886,ENSG00000101040
NKD2,8.88E-08,6887,ENSG00000145506
TRABD,8.88E-08,6888,ENSG00000170638
FXN,8.88E-08,6889,ENSG00000165060
DDIT3,8.88E-08,6890,ENSG00000175197
ITSN2,8.88E-08,6891,ENSG00000198399
NKRF,8.88E-08,6892,ENSG00000186416
CRLF3,8.88E-08,6893,ENSG00000176390
C17orf75,8.88E-08,6894,ENSG00000108666
FKBP11,8.88E-08,6895,ENSG00000134285
MRPL9,8.87E-08,6896,ENSG00000143436
ITGB3BP,8.87E-08,6897,ENSG00000142856
C17orf51,8.87E-08,6898,ENSG00000212719
BCL2L12,8.87E-08,6899,ENSG00000126453
AP1G1,8.87E-08,6900,ENSG00000166747
TSACC,8.87E-08,6901,ENSG00000163467
POU5F1B,8.87E-08,6902,ENSG00000212993
RRP36,8.87E-08,6903,ENSG00000124541
RP3-399L15.3,8.87E-08,6904,ENSG00000228624
GTF2B,8.86E-08,6905,ENSG00000137947
CCNI,8.86E-08,6906,ENSG00000118816
TMUB1,8.86E-08,6907,ENSG00000164897
CLN3,8.86E-08,6908,ENSG00000188603
,8.86E-08,6909,ENSG00000068793
FAM64A,8.86E-08,6910,ENSG00000129195
SERPINB6,8.86E-08,6911,ENSG00000124570
MPP3,8.86E-08,6912,ENSG00000161647
RBBP5,8.86E-08,6913,ENSG00000117222
DMXL1,8.85E-08,6914,ENSG00000172869
C7orf50,8.85E-08,6915,ENSG00000146540
LRBA,8.85E-08,6916,ENSG00000198589
TAF3,8.85E-08,6917,ENSG00000165632
RIC8A,8.85E-08,6918,ENSG00000177963
GATAD1,8.85E-08,6919,ENSG00000157259
PPIP5K2,8.85E-08,6920,ENSG00000145725
NAF1,8.85E-08,6921,ENSG00000145414
ZNHIT6,8.84E-08,6922,ENSG00000117174
NUCB1,8.84E-08,6923,ENSG00000104805
MYCNOS,8.84E-08,6924,ENSG00000233718
ZNF676,8.84E-08,6925,ENSG00000196109
ZMYND11,8.84E-08,6926,ENSG00000015171
DUSP7,8.84E-08,6927,ENSG00000164086
CTNNBL1,8.84E-08,6928,ENSG00000132792
TIMELESS,8.84E-08,6929,ENSG00000111602
LMBR1,8.84E-08,6930,ENSG00000105983
TMEM62,8.84E-08,6931,ENSG00000137842
RSAD1,8.84E-08,6932,ENSG00000136444
MAP1LC3C,8.84E-08,6933,ENSG00000197769
LENG8,8.84E-08,6934,ENSG00000167615
CREBZF,8.83E-08,6935,ENSG00000137504
NUP188,8.83E-08,6936,ENSG00000095319
MFAP3,8.83E-08,6937,ENSG00000037749
ATP2A2,8.83E-08,6938,ENSG00000174437
AP3S2,8.83E-08,6939,ENSG00000157823
FAM76A,8.83E-08,6940,ENSG00000009780
CD9,8.83E-08,6941,ENSG00000010278
MIR22HG,8.82E-08,6942,ENSG00000186594
MYO9B,8.82E-08,6943,ENSG00000099331
MANF,8.82E-08,6944,ENSG00000145050
CGGBP1,8.82E-08,6945,ENSG00000163320
CYBA,8.82E-08,6946,ENSG00000051523
POLR1A,8.82E-08,6947,ENSG00000068654
AGPS,8.82E-08,6948,ENSG00000018510
C15orf41,8.82E-08,6949,ENSG00000186073
PCLAF,8.82E-08,6950,ENSG00000166803
KPNA1,8.82E-08,6951,ENSG00000114030
EXOC3,8.82E-08,6952,ENSG00000180104
WRAP73,8.82E-08,6953,ENSG00000116213
TCAIM,8.82E-08,6954,ENSG00000179152
INTS4,8.81E-08,6955,ENSG00000149262
KIAA0232,8.81E-08,6956,ENSG00000170871
SDE2,8.81E-08,6957,ENSG00000143751
TBC1D7,8.81E-08,6958,ENSG00000145979
HERPUD1,8.81E-08,6959,ENSG00000051108
RAB23,8.81E-08,6960,ENSG00000112210
RBMX2,8.81E-08,6961,ENSG00000134597
GNG12,8.80E-08,6962,ENSG00000172380
CST3,8.80E-08,6963,ENSG00000101439
OSBPL9,8.80E-08,6964,ENSG00000117859
UBA2,8.80E-08,6965,ENSG00000126261
AMOT,8.80E-08,6966,ENSG00000126016
PSMF1,8.80E-08,6967,ENSG00000125818
TMPRSS2,8.80E-08,6968,ENSG00000184012
ZNF251,8.79E-08,6969,ENSG00000198169
CTBP2,8.79E-08,6970,ENSG00000175029
FBXO25,8.79E-08,6971,ENSG00000147364
OTUD5,8.79E-08,6972,ENSG00000068308
FAM173A,8.79E-08,6973,ENSG00000103254
SIRT7,8.79E-08,6974,ENSG00000187531
ADNP,8.78E-08,6975,ENSG00000101126
GATA2-AS1,8.78E-08,6976,ENSG00000244300
PHF14,8.78E-08,6977,ENSG00000106443
CALCOCO2,8.78E-08,6978,ENSG00000136436
ACOT7,8.78E-08,6979,ENSG00000097021
GNB2,8.78E-08,6980,ENSG00000172354
IRX2,8.78E-08,6981,ENSG00000170561
,8.78E-08,6982,ENSG00000206176
SCYL1,8.77E-08,6983,ENSG00000142186
NIT2,8.77E-08,6984,ENSG00000114021
AGAP4,8.77E-08,6985,ENSG00000188234
COA7,8.77E-08,6986,ENSG00000162377
DNPH1,8.77E-08,6987,ENSG00000112667
KLC1,8.77E-08,6988,ENSG00000126214
GLRX2,8.77E-08,6989,ENSG00000023572
CNOT2,8.77E-08,6990,ENSG00000111596
FAM83H,8.76E-08,6991,ENSG00000180921
C9orf16,8.76E-08,6992,ENSG00000171159
TCF20,8.76E-08,6993,ENSG00000100207
NMT1,8.76E-08,6994,ENSG00000136448
ORC4,8.76E-08,6995,ENSG00000115947
HINFP,8.76E-08,6996,ENSG00000172273
MIS18BP1,8.76E-08,6997,ENSG00000129534
EML4,8.76E-08,6998,ENSG00000143924
CCNH,8.76E-08,6999,ENSG00000134480
RFXANK,8.75E-08,7000,ENSG00000064490
IPPK,8.75E-08,7001,ENSG00000127080
SPTLC1,8.75E-08,7002,ENSG00000090054
TMEM132A,8.75E-08,7003,ENSG00000006118
INTS3,8.75E-08,7004,ENSG00000143624
GPR176,8.75E-08,7005,ENSG00000166073
STYX,8.75E-08,7006,ENSG00000198252
LARS2,8.75E-08,7007,ENSG00000011376
STK40,8.75E-08,7008,ENSG00000196182
URM1,8.75E-08,7009,ENSG00000167118
THOC3,8.75E-08,7010,ENSG00000051596
SLC29A2,8.75E-08,7011,ENSG00000174669
UBXN2B,8.75E-08,7012,ENSG00000215114
HEMK1,8.74E-08,7013,ENSG00000114735
ZNF300,8.74E-08,7014,ENSG00000145908
PROSER1,8.74E-08,7015,ENSG00000120685
BLOC1S4,8.74E-08,7016,ENSG00000186222
TMEM223,8.74E-08,7017,ENSG00000168569
DIABLO,8.74E-08,7018,ENSG00000184047
FAM102A,8.73E-08,7019,ENSG00000167106
PPP1R15A,8.73E-08,7020,ENSG00000087074
MTHFSD,8.73E-08,7021,ENSG00000103248
ECH1,8.73E-08,7022,ENSG00000104823
ARFRP1,8.73E-08,7023,ENSG00000101246
TMEM52B,8.73E-08,7024,ENSG00000165685
TMX1,8.73E-08,7025,ENSG00000139921
LSM14A,8.73E-08,7026,ENSG00000257103
PITPNA,8.73E-08,7027,ENSG00000174238
HAUS4,8.73E-08,7028,ENSG00000092036
PTPN14,8.73E-08,7029,ENSG00000152104
PPAT,8.72E-08,7030,ENSG00000128059
PSMD9,8.72E-08,7031,ENSG00000110801
GSC,8.72E-08,7032,ENSG00000133937
FAM210A,8.72E-08,7033,ENSG00000177150
SPC25,8.72E-08,7034,ENSG00000152253
ABHD17A,8.72E-08,7035,ENSG00000129968
MSH3,8.72E-08,7036,ENSG00000113318
TRIP4,8.71E-08,7037,ENSG00000103671
PRPSAP1,8.71E-08,7038,ENSG00000161542
COPB1,8.71E-08,7039,ENSG00000129083
CEP192,8.71E-08,7040,ENSG00000101639
RNASEH1,8.71E-08,7041,ENSG00000171865
TSFM,8.71E-08,7042,ENSG00000123297
COBL,8.71E-08,7043,ENSG00000106078
C12orf4,8.71E-08,7044,ENSG00000047621
RMI2,8.71E-08,7045,ENSG00000175643
EPS15L1,8.71E-08,7046,ENSG00000127527
NPIPB12,8.71E-08,7047,ENSG00000169203
ZNF142,8.71E-08,7048,ENSG00000115568
RAD18,8.70E-08,7049,ENSG00000070950
USP25,8.70E-08,7050,ENSG00000155313
APTX,8.70E-08,7051,ENSG00000137074
ANKRD10,8.70E-08,7052,ENSG00000088448
EIF2A,8.70E-08,7053,ENSG00000144895
KIF15,8.70E-08,7054,ENSG00000163808
EFR3A,8.70E-08,7055,ENSG00000132294
CAPN1,8.70E-08,7056,ENSG00000014216
CYLD,8.70E-08,7057,ENSG00000083799
SAP130,8.70E-08,7058,ENSG00000136715
ETAA1,8.70E-08,7059,ENSG00000143971
XPO6,8.69E-08,7060,ENSG00000169180
POLM,8.69E-08,7061,ENSG00000122678
,8.69E-08,7062,ENSG00000102069
RBM23,8.69E-08,7063,ENSG00000100461
BAD,8.69E-08,7064,ENSG00000002330
ODF2,8.69E-08,7065,ENSG00000136811
PPM1F,8.69E-08,7066,ENSG00000100034
MTHFD1,8.69E-08,7067,ENSG00000100714
MMP14,8.69E-08,7068,ENSG00000157227
TPMT,8.69E-08,7069,ENSG00000137364
TOR1AIP2,8.69E-08,7070,ENSG00000169905
,8.68E-08,7071,ENSG00000197701
ACAP2,8.68E-08,7072,ENSG00000114331
PSPH,8.68E-08,7073,ENSG00000146733
VCX,8.68E-08,7074,ENSG00000182583
MEIS2,8.68E-08,7075,ENSG00000134138
TBC1D14,8.67E-08,7076,ENSG00000132405
C1orf174,8.67E-08,7077,ENSG00000198912
TTK,8.67E-08,7078,ENSG00000112742
SUCO,8.67E-08,7079,ENSG00000094975
GPR89A,8.66E-08,7080,ENSG00000117262
TAF2,8.66E-08,7081,ENSG00000064313
NEDD4,8.66E-08,7082,ENSG00000069869
PLAU,8.66E-08,7083,ENSG00000122861
HEATR1,8.66E-08,7084,ENSG00000119285
CHMP2A,8.66E-08,7085,ENSG00000130724
ERBB3,8.66E-08,7086,ENSG00000065361
RGS3,8.66E-08,7087,ENSG00000138835
INO80E,8.65E-08,7088,ENSG00000169592
YDJC,8.65E-08,7089,ENSG00000161179
ARNT,8.65E-08,7090,ENSG00000143437
RBM7,8.65E-08,7091,ENSG00000076053
KIAA0100,8.65E-08,7092,ENSG00000007202
SMAD7,8.65E-08,7093,ENSG00000101665
SHCBP1,8.65E-08,7094,ENSG00000171241
,8.65E-08,7095,ENSG00000236850
AFF1,8.65E-08,7096,ENSG00000172493
PUS7,8.65E-08,7097,ENSG00000091127
ZNF408,8.65E-08,7098,ENSG00000175213
SPR,8.64E-08,7099,ENSG00000116096
BIRC5,8.64E-08,7100,ENSG00000089685
TAF5L,8.64E-08,7101,ENSG00000135801
UTP23,8.64E-08,7102,ENSG00000147679
TLN1,8.64E-08,7103,ENSG00000137076
HOOK3,8.64E-08,7104,ENSG00000168172
C21orf33,8.64E-08,7105,ENSG00000160221
FBXL6,8.64E-08,7106,ENSG00000182325
TNRC6A,8.63E-08,7107,ENSG00000090905
GSTA3,8.63E-08,7108,ENSG00000174156
EEF1E1,8.63E-08,7109,ENSG00000124802
OTX2,8.63E-08,7110,ENSG00000165588
TRAF4,8.63E-08,7111,ENSG00000076604
RABGAP1,8.63E-08,7112,ENSG00000011454
TSC22D1,8.63E-08,7113,ENSG00000102804
PPP1R8,8.62E-08,7114,ENSG00000117751
IQCB1,8.62E-08,7115,ENSG00000173226
CCNG1,8.62E-08,7116,ENSG00000113328
RHOU,8.62E-08,7117,ENSG00000116574
FYCO1,8.62E-08,7118,ENSG00000163820
PIM3,8.62E-08,7119,ENSG00000198355
THAP11,8.61E-08,7120,ENSG00000168286
PITRM1,8.61E-08,7121,ENSG00000107959
RP5-1112D6.4,8.61E-08,7122,ENSG00000230177
MMP24-AS1,8.61E-08,7123,ENSG00000126005
PMM1,8.61E-08,7124,ENSG00000100417
CLSTN1,8.60E-08,7125,ENSG00000171603
RTKN2,8.60E-08,7126,ENSG00000182010
PARP11,8.60E-08,7127,ENSG00000111224
SNX11,8.60E-08,7128,ENSG00000002919
MLX,8.60E-08,7129,ENSG00000108788
PRR11,8.60E-08,7130,ENSG00000068489
E4F1,8.60E-08,7131,ENSG00000167967
CMB9-22P13.1,8.60E-08,7132,ENSG00000173727
NUP153,8.59E-08,7133,ENSG00000124789
AP5Z1,8.59E-08,7134,ENSG00000242802
METTL1,8.59E-08,7135,ENSG00000037897
ZNF331,8.59E-08,7136,ENSG00000130844
,8.59E-08,7137,ENSG00000174194
OSCAR,8.59E-08,7138,ENSG00000170909
MXD1,8.59E-08,7139,ENSG00000059728
GSKIP,8.59E-08,7140,ENSG00000100744
MYADM,8.59E-08,7141,ENSG00000179820
INO80C,8.59E-08,7142,ENSG00000153391
RITA1,8.58E-08,7143,ENSG00000139405
NDST1,8.58E-08,7144,ENSG00000070614
DACT1,8.58E-08,7145,ENSG00000165617
HSPA2,8.58E-08,7146,ENSG00000126803
AMDHD1,8.58E-08,7147,ENSG00000139344
KMT5B,8.57E-08,7148,ENSG00000110066
BIRC2,8.57E-08,7149,ENSG00000110330
EPB41L4B,8.57E-08,7150,ENSG00000095203
ZNF451,8.57E-08,7151,ENSG00000112200
IRS1,8.57E-08,7152,ENSG00000169047
RNF113A,8.57E-08,7153,ENSG00000125352
PBRM1,8.57E-08,7154,ENSG00000163939
CDC6,8.57E-08,7155,ENSG00000094804
KALRN,8.57E-08,7156,ENSG00000160145
SACS,8.57E-08,7157,ENSG00000151835
PSENEN,8.56E-08,7158,ENSG00000205155
FER,8.56E-08,7159,ENSG00000151422
RBFOX2,8.56E-08,7160,ENSG00000100320
BAG3,8.56E-08,7161,ENSG00000151929
LRWD1,8.56E-08,7162,ENSG00000161036
IGF2BP2,8.56E-08,7163,ENSG00000073792
CSGALNACT1,8.56E-08,7164,ENSG00000147408
CDX1,8.56E-08,7165,ENSG00000113722
VENTX,8.56E-08,7166,ENSG00000151650
SWSAP1,8.55E-08,7167,ENSG00000173928
TAF4B,8.55E-08,7168,ENSG00000141384
RPP40,8.55E-08,7169,ENSG00000124787
BPTF,8.55E-08,7170,ENSG00000171634
TOP3A,8.55E-08,7171,ENSG00000177302
PAGE2,8.55E-08,7172,ENSG00000234068
PP7080,8.55E-08,7173,ENSG00000188242
TUSC1,8.54E-08,7174,ENSG00000198680
TTLL3,8.54E-08,7175,ENSG00000214021
KDF1,8.54E-08,7176,ENSG00000175707
SLCO4A1,8.54E-08,7177,ENSG00000101187
CNOT8,8.54E-08,7178,ENSG00000155508
METTL2B,8.54E-08,7179,ENSG00000165055
TAOK1,8.54E-08,7180,ENSG00000160551
TPCN1,8.54E-08,7181,ENSG00000186815
ARID1A,8.54E-08,7182,ENSG00000117713
HAUS6,8.54E-08,7183,ENSG00000147874
SNAPIN,8.53E-08,7184,ENSG00000143553
ZFP36L1,8.53E-08,7185,ENSG00000185650
TCF7L2,8.53E-08,7186,ENSG00000148737
NAA10,8.53E-08,7187,ENSG00000102030
EAF2,8.53E-08,7188,ENSG00000145088
SIK1,8.53E-08,7189,ENSG00000142178
MAP3K8,8.53E-08,7190,ENSG00000107968
UBR5,8.53E-08,7191,ENSG00000104517
COPS2,8.53E-08,7192,ENSG00000166200
CCDC57,8.53E-08,7193,ENSG00000176155
COMMD2,8.53E-08,7194,ENSG00000114744
BLZF1,8.53E-08,7195,ENSG00000117475
LPP,8.52E-08,7196,ENSG00000145012
PSME4,8.52E-08,7197,ENSG00000068878
FAM156B,8.52E-08,7198,ENSG00000179304
RBM19,8.52E-08,7199,ENSG00000122965
SLC19A3,8.52E-08,7200,ENSG00000135917
CACUL1,8.52E-08,7201,ENSG00000151893
AMMECR1,8.52E-08,7202,ENSG00000101935
ZMYM1,8.51E-08,7203,ENSG00000197056
CDCA8,8.51E-08,7204,ENSG00000134690
MYCBP,8.51E-08,7205,ENSG00000214114
UBA5,8.51E-08,7206,ENSG00000081307
PLRG1,8.51E-08,7207,ENSG00000171566
RPUSD2,8.51E-08,7208,ENSG00000166133
USP3,8.51E-08,7209,ENSG00000140455
,8.51E-08,7210,ENSG00000141141
